MMS-Topology, Synch-Mode, MPI-Nodes, TW-End-Time, Batch, GVT-Interval, nKP-per-PE, Terminal-LPs, MPI-LPs, Router-LPs, Routing-Algorithm, Csf-Ratio, Num-Indirect-Routes, SF-ATh-Value, VC-Count, Throughput, Throughput-Percentage, Total-Hops, AVG-Travel-Time, Max-Latency, Minimal-Count, Nonminimal-Count, Traffic-Workload,   Load, Mean-Interval, Total-Events, Roll-Backs, GVT-Computations, Net-Events, Running-Time(sec), Efficiency, Event-Rate(events/sec)
         7.3,        001,       001,     1000000,   016,          016,        016,          150,     150,        050,               000,       001,                 003,        0.100,      003,      4.936,                55.614,      2.833,         104.129,     908.722,           024,              000,              001,   0.20,         95.37,     51051588,          0,                0,   51051588,           24.3755,     100.00,             2094380.25
         7.3,        003,       002,     1000000,   016,          016,        016,          150,     150,        050,               000,       001,                 003,        0.100,      003,      4.933,                55.582,      2.833,         104.129,     706.110,    1202590843,       1064598241,              001,   0.20,         95.37,     52228149,     580419,           102009,   51051562,           22.7843,      97.70,             2240641.50
         7.3,        001,       001,     1000000,   016,          016,        016,          150,     150,        050,               000,       001,                 003,        0.100,      003,      2.451,                27.622,      2.832,          88.689,     372.999,           000,              000,              001,   0.10,        190.73,     25523997,          0,                0,   25523997,           11.4665,     100.00,             2225969.00
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,   -1191008008,            32554,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4358,     100.00,             1971872.62
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,   -1491203848,            32623,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4355,     100.00,             1972357.50
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,    2042579192,            32751,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4316,     100.00,             1977628.50
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,     -14960392,            32708,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4497,     100.00,             1953055.12
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,    1239496952,            32610,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            2.6152,     100.00,             1082631.50
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,    1368676600,            32674,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4480,     100.00,             1955303.50
         7.3,        001,       001,      100000,   016,          016,        016,          150,     150,        050,               001,       001,                 003,        0.100,      004,      0.191,                 2.149,      3.409,         114.047,     419.031,    1994504440,            32685,              001,   0.20,         95.37,      2831260,          0,                0,    2831260,            1.4616,     100.00,             1937161.25
